date,pm10,pm25,no2,no,nox,o3,co,toluene,carbon_monoxide,sulfur_dioxide
2023-08-15,17.0,10.0,24.0,7.0,34.0,67.0,,,0.3,
2023-08-16,15.0,10.0,11.0,2.0,13.0,73.0,,,0.2,
2023-08-17,16.0,9.0,14.0,5.0,21.0,68.0,,,0.2,
2023-08-18,21.0,12.0,22.0,7.0,32.0,68.0,,,0.3,
2023-08-19,23.0,14.0,21.0,3.0,26.0,72.0,,,0.3,
2023-08-20,18.0,11.0,12.0,2.0,14.0,69.0,,,0.2,
2023-08-21,17.0,9.0,18.0,6.0,27.0,63.0,,,0.2,
2023-08-22,21.0,9.0,22.0,6.0,32.0,55.0,,,0.3,
2023-08-23,22.0,11.0,33.0,9.0,46.0,50.0,,,0.3,
2023-08-24,24.0,11.0,35.0,10.0,50.0,60.0,,,0.4,
2023-08-25,27.0,14.0,27.0,7.0,38.0,75.0,,,0.3,
2023-08-26,15.0,9.0,20.0,6.0,29.0,56.0,,,0.2,
2023-08-27,17.0,11.0,24.0,6.0,33.0,42.0,,,0.3,
2023-08-28,14.0,7.0,25.0,11.0,41.0,50.0,,,0.3,
2023-08-29,13.0,9.0,18.0,3.0,22.0,48.0,,,0.2,
2023-08-30,13.0,8.0,26.0,10.0,42.0,45.0,,,0.3,
2023-08-31,12.0,8.0,24.0,15.0,47.0,45.0,,,0.3,
2024-05-01,31.0,12.0,18.0,4.0,24.0,94.0,,,0.3,
2024-05-02,35.0,12.0,27.0,9.0,42.0,78.0,,,0.3,
2024-05-03,26.0,11.0,23.0,8.0,35.0,63.0,,,0.3,
2024-05-04,22.0,16.0,14.0,5.0,22.0,63.0,,,0.2,
2024-05-05,19.0,12.0,14.0,4.0,21.0,59.0,,,0.2,
2024-05-06,14.0,7.0,22.0,10.0,38.0,73.0,,,0.2,
2024-05-07,15.0,8.0,9.0,2.0,11.0,68.0,,,0.2,
2024-05-08,19.0,9.0,13.0,4.0,19.0,77.0,,,0.2,
2024-05-09,19.0,10.0,13.0,2.0,15.0,77.0,,,0.2,
2024-05-10,24.0,13.0,21.0,4.0,27.0,73.0,,,0.3,
2024-05-11,18.0,12.0,6.0,2.0,7.0,66.0,,,0.2,
2024-05-12,14.0,6.0,12.0,3.0,16.0,73.0,,,0.2,
2024-05-13,23.0,8.0,27.0,9.0,41.0,78.0,,,0.3,
2024-05-14,26.0,8.0,30.0,11.0,47.0,82.0,,,0.3,
2024-05-15,31.0,8.0,25.0,9.0,38.0,79.0,,,0.3,
2024-05-16,36.0,10.0,25.0,10.0,40.0,76.0,,,0.3,
2024-05-17,33.0,11.0,20.0,7.0,30.0,79.0,,,0.2,
2024-05-18,16.0,9.0,18.0,6.0,27.0,65.0,,,0.3,
2024-05-19,19.0,13.0,16.0,4.0,23.0,55.0,,,0.3,
2024-05-20,18.0,12.0,15.0,3.0,20.0,63.0,,,0.2,
2024-05-21,24.0,14.0,17.0,4.0,24.0,89.0,,,0.2,
2024-05-22,24.0,14.0,23.0,9.0,36.0,77.0,,,0.3,
2024-05-23,25.0,16.0,25.0,12.0,44.0,67.0,,,0.3,
2024-05-24,27.0,18.0,24.0,8.0,36.0,66.0,,,0.3,
2024-05-25,20.0,14.0,17.0,5.0,25.0,75.0,,,0.3,
2024-05-26,17.0,11.0,17.0,4.0,23.0,75.0,,,0.3,
2024-05-27,19.0,11.0,27.0,9.0,41.0,73.0,,,0.3,
2024-05-28,17.0,12.0,29.0,13.0,49.0,53.0,,,0.3,
2024-05-29,19.0,10.0,23.0,10.0,39.0,54.0,,,0.3,
2024-05-30,18.0,12.0,24.0,8.0,37.0,46.0,,,0.3,
2024-05-31,15.0,10.0,20.0,11.0,36.0,56.0,,,0.3,
2024-06-01,25.0,16.0,7.0,1.0,8.0,82.0,,,0.2,
2024-06-02,26.0,18.0,9.0,2.0,12.0,79.0,,,0.2,
2024-06-03,23.0,14.0,29.0,13.0,49.0,65.0,,,0.3,
2024-06-04,18.0,11.0,26.0,11.0,43.0,52.0,,,0.3,
2024-06-05,21.0,13.0,29.0,13.0,48.0,44.0,,,0.3,
2024-06-06,22.0,14.0,19.0,8.0,30.0,66.0,,,0.2,
2024-06-07,24.0,16.0,27.0,8.0,38.0,61.0,,,0.3,
2024-06-08,27.0,17.0,24.0,6.0,33.0,71.0,,,0.3,
2024-06-09,12.0,7.0,13.0,5.0,20.0,67.0,,,0.2,
2024-06-10,17.0,9.0,19.0,9.0,33.0,60.0,,,0.2,
2024-06-11,13.0,7.0,19.0,13.0,39.0,53.0,,,0.2,
2024-06-12,11.0,6.0,23.0,13.0,43.0,57.0,,,0.3,
2024-06-13,13.0,6.0,24.0,11.0,41.0,58.0,,,0.2,
2024-06-14,22.0,12.0,33.0,15.0,56.0,44.0,,,0.3,
2024-06-15,16.0,10.0,22.0,6.0,31.0,51.0,,,0.3,
2024-06-16,15.0,9.0,22.0,5.0,31.0,48.0,,,0.3,
2024-06-17,14.0,7.0,23.0,9.0,36.0,46.0,,,0.2,
2024-06-18,16.0,8.0,27.0,11.0,43.0,45.0,,,0.2,
2024-06-19,15.0,10.0,17.0,6.0,26.0,53.0,,,0.2,
2024-06-20,17.0,9.0,23.0,10.0,38.0,57.0,,,0.2,
2024-06-21,29.0,17.0,27.0,10.0,43.0,52.0,,,0.3,
2024-06-22,21.0,12.0,20.0,7.0,31.0,62.0,,,0.2,
2024-06-23,17.0,11.0,11.0,3.0,15.0,74.0,,,0.2,
2024-06-24,16.0,9.0,15.0,4.0,21.0,65.0,,,0.2,
2024-06-25,19.0,9.0,20.0,8.0,32.0,66.0,,,0.2,
2024-06-26,23.0,11.0,19.0,7.0,29.0,83.0,,,0.2,
2024-06-27,30.0,16.0,28.0,8.0,41.0,70.0,,,0.3,
2024-06-28,26.0,14.0,26.0,7.0,37.0,70.0,,,0.3,
2024-06-29,23.0,12.0,16.0,4.0,23.0,84.0,,,0.2,
2024-06-30,21.0,13.0,12.0,4.0,18.0,69.0,,,0.2,
2024-07-01,17.0,11.0,22.0,11.0,39.0,51.0,,,0.2,
2024-07-02,12.0,8.0,22.0,17.0,47.0,38.0,,,0.3,
2024-07-03,14.0,8.0,21.0,13.0,41.0,41.0,,,0.2,
2024-07-04,14.0,8.0,22.0,11.0,39.0,41.0,,,0.2,
2024-07-05,18.0,9.0,22.0,9.0,37.0,46.0,,,0.2,
2024-07-06,16.0,8.0,15.0,6.0,24.0,53.0,,,0.2,
2024-07-07,14.0,6.0,13.0,3.0,18.0,65.0,,,0.2,
2024-07-08,16.0,6.0,23.0,8.0,35.0,62.0,,,0.2,
2024-07-09,21.0,8.0,29.0,9.0,43.0,74.0,,,0.3,
2024-07-10,27.0,15.0,24.0,6.0,34.0,68.0,,,0.3,
2024-07-11,19.0,12.0,24.0,9.0,37.0,52.0,,,0.2,
2024-07-12,17.0,11.0,25.0,9.0,39.0,46.0,,,0.3,
2024-07-13,11.0,7.0,18.0,6.0,28.0,57.0,,,0.2,
2024-07-14,13.0,9.0,21.0,5.0,29.0,57.0,,,0.3,
2024-07-15,18.0,9.0,28.0,9.0,42.0,67.0,,,0.3,
2024-07-16,21.0,10.0,22.0,7.0,33.0,63.0,,,0.2,
2024-07-17,12.0,6.0,21.0,10.0,36.0,56.0,,,0.2,
2024-07-18,12.0,7.0,17.0,6.0,26.0,66.0,,,0.2,
2024-07-19,20.0,9.0,23.0,5.0,31.0,75.0,,,0.2,
2024-07-20,23.0,10.0,17.0,4.0,24.0,82.0,,,0.2,
2024-07-21,26.0,13.0,14.0,2.0,17.0,99.0,,,0.2,
2024-07-22,16.0,10.0,21.0,11.0,38.0,49.0,,,0.2,
2024-07-23,17.0,9.0,22.0,11.0,39.0,54.0,,,0.2,
2024-07-24,14.0,9.0,13.0,5.0,20.0,53.0,,,0.2,
2024-07-25,15.0,7.0,17.0,9.0,30.0,54.0,,,0.2,
2024-07-26,22.0,11.0,24.0,9.0,38.0,57.0,,,0.3,
2024-07-27,17.0,12.0,17.0,4.0,23.0,48.0,,,0.2,
2024-07-28,11.0,8.0,9.0,3.0,13.0,61.0,,,0.2,
2024-07-29,11.0,6.0,11.0,4.0,17.0,54.0,,,0.2,
2024-07-30,16.0,8.0,26.0,11.0,43.0,51.0,,,0.3,
2024-07-31,22.0,11.0,24.0,6.0,33.0,71.0,,,0.3,
2024-08-01,23.0,10.0,13.0,2.0,16.0,91.0,,,0.2,
2024-08-02,22.0,10.0,13.0,2.0,15.0,62.0,,,0.2,
2024-08-03,19.0,11.0,15.0,2.0,17.0,65.0,,,0.2,
2024-08-04,16.0,12.0,13.0,2.0,17.0,63.0,,,0.2,
2024-08-05,14.0,8.0,16.0,7.0,26.0,49.0,,,0.2,
2024-08-06,19.0,10.0,26.0,12.0,45.0,47.0,,,0.3,
2024-08-07,22.0,12.0,25.0,7.0,35.0,78.0,,,0.3,
2024-08-08,18.0,11.0,20.0,6.0,30.0,60.0,,,0.2,
2024-08-09,20.0,11.0,24.0,7.0,35.0,47.0,,,0.3,
2024-08-10,15.0,9.0,17.0,5.0,25.0,63.0,,,0.3,
2024-08-11,15.0,9.0,10.0,2.0,12.0,66.0,,,0.2,
2024-08-12,18.0,8.0,18.0,6.0,26.0,71.0,,,0.3,
2024-08-13,20.0,8.0,,,,70.0,,,0.3,
2024-08-14,23.0,10.0,25.0,6.0,34.0,82.0,,,0.3,
2024-08-15,23.0,13.0,30.0,8.0,42.0,59.0,,,0.3,
2024-08-16,20.0,11.0,26.0,7.0,37.0,55.0,,,0.3,
2024-08-17,15.0,9.0,16.0,3.0,20.0,58.0,,,0.2,
2024-08-18,17.0,12.0,6.0,2.0,6.0,57.0,,,0.2,
2024-08-19,19.0,11.0,17.0,4.0,22.0,62.0,,,0.3,
2024-08-20,26.0,14.0,30.0,12.0,48.0,53.0,,,0.3,
2024-08-21,20.0,9.0,20.0,9.0,34.0,61.0,,,0.3,
2024-08-22,21.0,8.0,22.0,7.0,32.0,55.0,,,0.3,
2024-08-23,27.0,8.0,21.0,5.0,28.0,67.0,,,0.3,
2024-08-24,17.0,8.0,15.0,3.0,20.0,74.0,,,0.3,
2024-08-25,17.0,8.0,15.0,3.0,20.0,72.0,,,0.3,
2024-08-26,23.0,11.0,31.0,10.0,46.0,48.0,,,0.3,
2024-08-27,24.0,11.0,27.0,9.0,40.0,62.0,,,0.3,
2024-08-28,33.0,14.0,27.0,8.0,39.0,76.0,,,0.3,
2024-08-29,36.0,18.0,41.0,9.0,55.0,64.0,,,0.4,
2024-08-30,23.0,13.0,18.0,3.0,24.0,70.0,,,0.3,
2024-08-31,14.0,9.0,6.0,1.0,7.0,74.0,,,0.2,
2025-05-01,18.0,9.0,23.0,4.0,29.0,68.0,,,0.3,
2025-05-02,27.0,13.0,26.0,7.0,36.0,81.0,,,0.3,
2025-05-03,18.0,12.0,15.0,5.0,23.0,61.0,,,0.2,
2025-05-04,11.0,6.0,10.0,3.0,14.0,71.0,,,0.2,
2025-05-05,9.0,5.0,8.0,3.0,12.0,56.0,,,0.2,
2025-05-06,14.0,7.0,19.0,10.0,33.0,57.0,,,0.2,
2025-05-07,13.0,6.0,11.0,4.0,16.0,67.0,,,0.2,
2025-05-08,13.0,7.0,15.0,3.0,19.0,66.0,,,0.2,
2025-05-09,17.0,8.0,26.0,8.0,38.0,58.0,,,0.3,
2025-05-10,12.0,8.0,8.0,2.0,10.0,69.0,,,0.2,
2025-05-11,13.0,8.0,7.0,2.0,9.0,70.0,,,0.2,
2025-05-12,19.0,9.0,16.0,5.0,24.0,77.0,,,0.2,
2025-05-13,24.0,11.0,23.0,5.0,30.0,70.0,,,0.2,
2025-05-14,23.0,10.0,22.0,8.0,34.0,74.0,,,0.2,
2025-05-15,15.0,6.0,8.0,2.0,11.0,78.0,,,0.2,
2025-05-16,15.0,8.0,19.0,7.0,29.0,60.0,,,0.2,
2025-05-17,11.0,7.0,10.0,3.0,13.0,73.0,,,0.2,
2025-05-18,10.0,6.0,9.0,2.0,12.0,72.0,,,0.2,
2025-05-19,13.0,9.0,13.0,3.0,17.0,61.0,,,0.2,
2025-05-20,24.0,14.0,37.0,17.0,64.0,53.0,,,0.3,
2025-05-21,22.0,10.0,25.0,11.0,42.0,76.0,,,0.2,
2025-05-22,21.0,9.0,20.0,11.0,37.0,67.0,,,0.2,
2025-05-23,12.0,6.0,24.0,12.0,43.0,54.0,,,0.2,
2025-05-24,14.0,8.0,21.0,7.0,32.0,61.0,,,0.3,
2025-05-25,16.0,11.0,16.0,5.0,23.0,49.0,,,0.2,
2025-05-26,15.0,10.0,23.0,8.0,35.0,53.0,,,0.2,
2025-05-27,21.0,11.0,26.0,9.0,39.0,58.0,,,0.2,
2025-05-28,11.0,7.0,19.0,9.0,33.0,53.0,,,0.2,
2025-05-29,11.0,7.0,12.0,4.0,18.0,70.0,,,0.2,
2025-05-30,17.0,11.0,22.0,12.0,40.0,41.0,,,0.3,
2025-05-31,15.0,9.0,14.0,4.0,20.0,56.0,,,0.2,
2025-06-01,15.0,10.0,14.0,4.0,20.0,70.0,,,0.2,
2025-06-02,22.0,14.0,21.0,8.0,33.0,68.0,,,0.3,
2025-06-03,19.0,11.0,25.0,7.0,36.0,69.0,,,0.3,
2025-06-04,23.0,13.0,26.0,9.0,40.0,53.0,,,0.3,
2025-06-05,15.0,9.0,23.0,10.0,38.0,57.0,,,0.2,
2025-06-06,14.0,7.0,21.0,7.0,33.0,60.0,,,0.2,
2025-06-07,12.0,7.0,17.0,4.0,23.0,55.0,,,0.2,
2025-06-08,20.0,9.0,11.0,3.0,17.0,53.0,,,0.2,
2025-06-09,13.0,8.0,16.0,5.0,23.0,60.0,,,0.2,
2025-06-10,25.0,18.0,26.0,11.0,43.0,50.0,,,0.3,
2025-06-11,16.0,10.0,17.0,6.0,25.0,72.0,,,0.3,
2025-06-12,15.0,7.0,15.0,5.0,21.0,69.0,,,0.2,
2025-06-13,18.0,7.0,21.0,8.0,32.0,61.0,,,0.3,
2025-06-14,21.0,10.0,21.0,5.0,29.0,83.0,,,0.3,
2025-06-15,20.0,12.0,14.0,2.0,17.0,97.0,,,0.3,
2025-06-16,14.0,9.0,14.0,6.0,23.0,68.0,,,0.3,
2025-06-17,25.0,12.0,23.0,6.0,32.0,67.0,,,0.3,
2025-06-18,23.0,13.0,26.0,8.0,38.0,74.0,,,0.3,
2025-06-19,14.0,8.0,10.0,4.0,16.0,72.0,,,0.2,
2025-06-20,15.0,7.0,12.0,4.0,18.0,67.0,,,0.2,
2025-06-21,21.0,10.0,26.0,6.0,36.0,68.0,,,0.3,
2025-06-22,25.0,13.0,29.0,6.0,39.0,77.0,,,0.4,
2025-06-23,20.0,9.0,18.0,7.0,29.0,71.0,,,0.2,
2025-06-24,18.0,8.0,23.0,12.0,42.0,68.0,,,0.3,
2025-06-25,12.0,8.0,15.0,9.0,29.0,54.0,,,0.2,
2025-06-26,15.0,8.0,28.0,14.0,50.0,58.0,,,0.3,
2025-06-27,14.0,9.0,21.0,11.0,38.0,50.0,,,0.3,
2025-06-28,14.0,9.0,18.0,6.0,27.0,65.0,,,0.3,
2025-06-29,11.0,7.0,9.0,3.0,14.0,63.0,,,0.2,
2025-06-30,12.0,7.0,12.0,4.0,18.0,68.0,,,0.2,
2025-07-01,17.0,8.0,28.0,10.0,43.0,69.0,,,0.3,
2025-07-02,20.0,8.0,35.0,8.0,46.0,86.0,,,0.3,
2025-07-03,17.0,8.0,16.0,6.0,24.0,78.0,,,0.2,
2025-07-04,14.0,7.0,18.0,6.0,27.0,62.0,,,0.2,
2025-07-05,18.0,9.0,24.0,6.0,32.0,75.0,,,0.3,
2025-07-06,13.0,6.0,15.0,4.0,22.0,82.0,,,0.2,
2025-07-07,10.0,6.0,19.0,10.0,35.0,56.0,,,0.3,
2025-07-08,14.0,8.0,16.0,11.0,32.0,52.0,,,0.2,
2025-07-09,12.0,8.0,13.0,7.0,24.0,48.0,,,0.2,
2025-07-10,15.0,10.0,18.0,8.0,30.0,47.0,,,0.2,
2025-07-11,13.0,8.0,16.0,7.0,27.0,51.0,,,0.2,
2025-07-12,13.0,9.0,18.0,11.0,35.0,29.0,,,0.3,
2025-07-13,13.0,9.0,14.0,5.0,21.0,37.0,,,0.3,
2025-07-14,19.0,11.0,27.0,10.0,43.0,48.0,,,0.3,
2025-07-15,17.0,11.0,25.0,11.0,41.0,53.0,,,0.3,
2025-07-16,16.0,10.0,24.0,11.0,40.0,46.0,,,0.3,
2025-07-17,17.0,11.0,26.0,19.0,56.0,33.0,,,0.3,
2025-07-18,18.0,11.0,18.0,5.0,26.0,62.0,,,0.3,
2025-07-19,21.0,12.0,20.0,6.0,28.0,61.0,,,0.3,
2025-07-20,20.0,12.0,17.0,4.0,24.0,73.0,,,0.3,
2025-07-21,21.0,12.0,23.0,9.0,36.0,52.0,,,0.3,
2025-07-22,14.0,8.0,21.0,13.0,40.0,49.0,,,0.3,
2025-07-23,18.0,11.0,27.0,13.0,48.0,39.0,,,0.3,
2025-07-24,17.0,11.0,28.0,15.0,51.0,44.0,,,0.3,
2025-07-25,17.0,11.0,25.0,12.0,43.0,48.0,,,0.3,
2025-07-26,15.0,10.0,15.0,6.0,23.0,51.0,,,0.2,
2025-07-27,17.0,11.0,15.0,7.0,24.0,57.0,,,0.3,
2025-07-28,14.0,9.0,9.0,3.0,13.0,56.0,,,0.2,
2025-07-29,13.0,7.0,20.0,14.0,41.0,46.0,,,0.3,
2025-07-30,13.0,7.0,21.0,10.0,37.0,48.0,,,0.3,
2025-07-31,15.0,9.0,21.0,11.0,38.0,43.0,,,0.3,
2025-08-01,15.0,9.0,23.0,10.0,38.0,42.0,,,0.3,
2025-08-02,14.0,9.0,20.0,7.0,31.0,41.0,,,0.3,
2025-08-03,11.0,7.0,13.0,6.0,23.0,43.0,,,0.3,
2025-08-04,14.0,9.0,22.0,9.0,36.0,38.0,,,0.3,
2025-08-05,15.0,9.0,21.0,13.0,41.0,40.0,,,0.3,
2025-08-06,15.0,8.0,24.0,13.0,44.0,42.0,,,0.3,
2025-08-07,21.0,10.0,30.0,11.0,47.0,41.0,,,0.3,
2025-08-08,26.0,11.0,35.0,8.0,47.0,51.0,,,0.4,
2025-08-09,26.0,13.0,27.0,6.0,36.0,65.0,,,0.4,
2025-08-10,17.0,10.0,9.0,2.0,12.0,73.0,,,0.2,
2025-08-11,22.0,10.0,25.0,11.0,42.0,53.0,,,0.3,
2025-08-12,25.0,10.0,29.0,11.0,47.0,62.0,,,0.3,
2025-08-13,27.0,11.0,32.0,8.0,44.0,86.0,,,0.3,
2025-08-14,34.0,14.0,33.0,7.0,43.0,88.0,,,0.4,
2025-08-15,35.0,16.0,25.0,5.0,31.0,100.0,,,0.3,
2025-08-16,20.0,12.0,12.0,3.0,16.0,71.0,,,0.2,
2025-08-17,15.0,8.0,8.0,3.0,12.0,59.0,,,0.2,
2025-08-18,16.0,6.0,21.0,6.0,30.0,52.0,,,0.3,
2025-08-19,21.0,9.0,31.0,10.0,46.0,50.0,,,0.3,
2025-08-20,17.0,9.0,7.0,2.0,9.0,66.0,,,0.2,
2025-08-21,15.0,6.0,13.0,4.0,18.0,59.0,,,0.2,
2025-08-22,15.0,7.0,15.0,9.0,29.0,54.0,,,0.2,
2025-08-23,10.0,6.0,14.0,5.0,22.0,56.0,,,0.2,
2025-08-24,11.0,6.0,15.0,6.0,25.0,49.0,,,0.2,
2025-08-25,18.0,9.0,31.0,19.0,59.0,42.0,,,0.3,
2025-08-26,16.0,8.0,30.0,14.0,51.0,45.0,,,0.3,
2025-08-27,28.0,12.0,35.0,11.0,53.0,56.0,,,0.3,
2025-08-28,26.0,19.0,30.0,11.0,47.0,32.0,,,0.3,
2025-08-29,24.0,17.0,26.0,12.0,44.0,23.0,,,0.3,
2025-08-30,20.0,13.0,22.0,8.0,35.0,33.0,,,0.3,
2025-08-31,16.0,10.0,23.0,7.0,33.0,37.0,,,0.3,
